Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""PKACg""","""PKACg""","""PRKACG""","""PRKACG""","""protein kinase, cAMP-dependent, catalytic, gamma""","""PRKACG""","""protein kinase cAMP-activated catalytic subunit gamma""","""protein kinase, cAMP-dependent, catalytic, gamma"", ""protein kinase, cAMP-dependent, gamma catalytic subunit""",,"""PKACg""","""cAMP-dependent protein kinase catalytic subunit gamma""",,"""PRKACG""",,"""protein kinase cAMP-activated catalytic subunit gamma""","""BDPLT19"", ""KAPG"", ""PKACg"""
"""PRKX""","""PRKX""","""PRKX""","""PRKX""","""protein kinase, X-linked""","""PRKX""","""protein kinase cAMP-dependent X-linked catalytic subunit""","""protein kinase X-linked""",,"""PKX1""","""cAMP-dependent protein kinase catalytic subunit PRKX""","""Protein kinase PKX1""","""PRKX""","""PKX1""","""protein kinase cAMP-dependent X-linked catalytic subunit""","""PKX1"""
"""PRKY""","""PRKY""","""PRKY""","""PRKY""","""protein kinase, Y-linked""","""PRKY""","""protein kinase Y-linked (pseudogene)""","""protein kinase, Y-linked"", ""protein kinase Y-linked, pseudogene""",,"""PRKYP"", ""PRKXP3""","""Putative serine/threonine-protein kinase PRKY""",,"""PRKY""",,"""protein kinase Y-linked (pseudogene)""","""PRKXP3"", ""PRKYP"""
"""PKCa""","""PKCa""","""PRKCA""","""PRKCA""","""protein kinase C, alpha""","""PRKCA""","""protein kinase C alpha""","""protein kinase C, alpha""",,"""PKCα""","""Protein kinase C alpha type""",,"""PRKCA""","""PKCA"", ""PRKACA""","""protein kinase C alpha""","""AAG6"", ""PKC-alpha"", ""PKCA"", ""PKCI+/-"", ""PKCalpha"", ""PRKACA"""
"""PKCb""","""PKCb""","""PRKCB1""","""PRKCB1""","""protein kinase C, beta 1""","""PRKCB1""",,,,,"""Protein kinase C beta type""",,"""PRKCB""","""PKCB"", ""PRKCB1""",,
"""PKCg""","""PKCg""","""PRKCG""","""PRKCG""","""protein kinase C, gamma""","""PRKCG""","""protein kinase C gamma""","""protein kinase C, gamma""","""PKC-gamma""","""PKCC"", ""MGC57564"", ""PKCγ""","""Protein kinase C gamma type""",,"""PRKCG""","""PKCG""","""protein kinase C gamma""","""PKC-gamma"", ""PKCC"", ""PKCG"", ""PKCI(3)"", ""PKCgamma"", ""SCA14"""
"""PKCd""","""PKCd""","""PRKCD""","""PRKCD""","""protein kinase C, delta""","""PRKCD""","""protein kinase C delta""","""protein kinase C, delta""",,,"""Protein kinase C delta type""","""Tyrosine-protein kinase PRKCD"", ""nPKC-delta""","""PRKCD""","""PKCD""","""protein kinase C delta""","""ALPS3"", ""CVID9"", ""MAY1"", ""PKCD"", ""nPKC-delta"""
"""PKCt""","""PKCt""","""PRKCQ""","""PRKCQ""","""protein kinase C, theta""","""PRKCQ""","""protein kinase C theta""","""protein kinase C, theta""",,,"""Protein kinase C theta type""","""nPKC-theta""","""PRKCQ""","""PRKCT""","""protein kinase C theta""","""PRKCT"", ""nPKC-theta"""
"""PKCe""","""PKCe""","""PRKCE""","""PRKCE""","""protein kinase C, epsilon""","""PRKCE""","""protein kinase C epsilon""","""protein kinase C, epsilon""",,,"""Protein kinase C epsilon type""","""nPKC-epsilon""","""PRKCE""","""PKCE""","""protein kinase C epsilon""","""PKCE"", ""nPKC-epsilon"""
"""PKCh""","""PKCh""","""PRKCH""","""PRKCH""","""protein kinase C, eta""","""PRKCH""","""protein kinase C eta""","""protein kinase C, eta""",,"""PKC-L"", ""PKCL""","""Protein kinase C eta type""","""PKC-L"", ""nPKC-eta""","""PRKCH""","""PKCL"", ""PRKCL""","""protein kinase C eta""","""PKC-L"", ""PKCL"", ""PRKCL"", ""nPKC-eta"", ""uORF2"""
"""PKCi""","""PKCi""","""PRKCI""","""PRKCI""","""protein kinase C, iota""","""PRKCI""","""protein kinase C iota""","""protein kinase C, iota""",,"""PKCI""","""Protein kinase C iota type""","""Atypical protein kinase C-lambda/iota"", ""nPKC-iota""","""PRKCI""","""DXS1179E""","""protein kinase C iota""","""DXS1179E"", ""PKCI"", ""nPKC-iota"""
"""PKCz""","""PKCz""","""PRKCZ""","""PRKCZ""","""protein kinase C, zeta""","""PRKCZ""","""protein kinase C zeta""","""protein kinase C, zeta""",,"""PKC2""","""Protein kinase C zeta type""","""nPKC-zeta""","""PRKCZ""","""PKC2""","""protein kinase C zeta""","""PKC-ZETA"", ""PKC2"""
"""PKG1""","""PKG1""","""PRKG1""","""PRKG1""","""protein kinase, cGMP-dependent, type I""","""PRKG1""","""protein kinase cGMP-dependent 1""","""protein kinase, cGMP-dependent, type I""",,"""PGK"", ""PKG"", ""PKG1""","""cGMP-dependent protein kinase 1""","""cGMP-dependent protein kinase I""","""PRKG1""","""PRKG1B"", ""PRKGR1A"", ""PRKGR1B""","""protein kinase cGMP-dependent 1""","""AAT8"", ""PKG"", ""PKG1"", ""PRKG1B"", ""PRKGR1B"", ""cGK"", ""cGK 1"", ""cGK1"", ""cGKI"", ""cGKI-BETA"", ""cGKI-alpha"""
"""PKG2""","""PKG2""","""PRKG2""","""PRKG2""","""protein kinase, cGMP-dependent, type II""","""PRKG2""","""protein kinase cGMP-dependent 2""","""protein kinase, cGMP-dependent, type II""",,"""cGKII"", ""PRKGR2"", ""PKG2""","""cGMP-dependent protein kinase 2""","""cGMP-dependent protein kinase II""","""PRKG2""","""PRKGR2""","""protein kinase cGMP-dependent 2""","""AMD4"", ""PKG2"", ""PRKGR2"", ""SMDP"", ""cGK2"", ""cGKII"""
"""PKN1""","""PKN1""","""PKN1""","""PKN1""","""protein kinase N1""","""PKN1""","""protein kinase N1""","""protein kinase C-like 1""",,"""DBK"", ""PRK1"", ""PKN"", ""MGC46204"", ""PAK1""","""Serine/threonine-protein kinase N1""","""Protease-activated kinase 1"", ""Protein kinase C-like 1"", ""Protein kinase C-like PKN"", ""Protein kinase PKN-alpha"", ""Protein-kinase C-related kinase 1"", ""Serine-threonine protein kinase N""","""PKN1""","""PAK1"", ""PKN"", ""PRK1"", ""PRKCL1""","""protein kinase N1""","""DBK"", ""PAK-1"", ""PAK1"", ""PKN"", ""PKN-ALPHA"", ""PRK1"", ""PRKCL1"""
"""PKN2""","""PKN2""","""PKN2""","""PKN2""","""protein kinase N2""","""PKN2""","""protein kinase N2""","""protein kinase C-like 2""","""cardiolipin-activated protein kinase Pak2""","""PRK2"", ""Pak-2"", ""STK7""","""Serine/threonine-protein kinase N2""","""PKN gamma"", ""Protein kinase C-like 2"", ""Protein-kinase C-related kinase 2""","""PKN2""","""PRK2"", ""PRKCL2""","""protein kinase N2""","""PAK2"", ""PRK2"", ""PRKCL2"", ""PRO2042"", ""Pak-2"", ""STK7"""
"""PKN3""","""PKN3""","""PKN3""","""PKN3""","""protein kinase N3""","""PKN3""","""protein kinase N3""",,,"""PKNbeta"", ""UTDP4-1""","""Serine/threonine-protein kinase N3""","""Protein kinase PKN-beta"", ""Protein-kinase C-related kinase 3""","""PKN3""","""PKNBETA""","""protein kinase N3""","""UTDP4-1"""
"""MSK2""","""MSK2""","""RPS6KA4""","""RPS6KA4""","""ribosomal protein S6 kinase, 90kDa, polypeptide 4""","""RPS6KA4""","""ribosomal protein S6 kinase A4""","""ribosomal protein S6 kinase, 90kD, polypeptide 4""",,"""RSK-B"", ""MSK2""","""Ribosomal protein S6 kinase alpha-4""","""90 kDa ribosomal protein S6 kinase 4"", ""Nuclear mitogen- and stress-activated protein kinase 2"", ""Ribosomal protein kinase B""","""RPS6KA4""","""MSK2""","""ribosomal protein S6 kinase A4""","""MSK2"", ""RSK-B"", ""S6K-alpha-4"""
"""MSK1""","""MSK1""","""RPS6KA5""","""RPS6KA5""","""ribosomal protein S6 kinase, 90kDa, polypeptide 5""","""RPS6KA5""","""ribosomal protein S6 kinase A5""","""ribosomal protein S6 kinase, 90kD, polypeptide 5""",,"""MSK1"", ""RLPK""","""Ribosomal protein S6 kinase alpha-5""","""90 kDa ribosomal protein S6 kinase 5"", ""Nuclear mitogen- and stress-activated protein kinase 1"", ""RSK-like protein kinase""","""RPS6KA5""","""MSK1""","""ribosomal protein S6 kinase A5""","""MSK1"", ""MSPK1"", ""RLPK"""
"""p70S6K""","""p70S6K""","""RPS6KB1""","""RPS6KB1""","""ribosomal protein S6 kinase, 70kDa, polypeptide 1""","""RPS6KB1""","""ribosomal protein S6 kinase B1""","""ribosomal protein S6 kinase, 70kD, polypeptide 1""",,"""S6K1"", ""p70(S6K)-alpha"", ""PS6K"", ""S6K""","""Ribosomal protein S6 kinase beta-1""","""70 kDa ribosomal protein S6 kinase 1"", ""Ribosomal protein S6 kinase I"", ""Serine/threonine-protein kinase 14A"", ""p70 ribosomal S6 kinase alpha""","""RPS6KB1""","""STK14A""","""ribosomal protein S6 kinase B1""","""PS6K"", ""S6K"", ""S6K-beta-1"", ""S6K1"", ""STK14A"", ""p70 S6KA"", ""p70(S6K)-alpha"", ""p70-S6K"", ""p70-alpha"""
"""p70S6Kb""","""p70S6Kb""","""RPS6KB2""","""RPS6KB2""","""ribosomal protein S6 kinase, 70kDa, polypeptide 2""","""RPS6KB2""","""ribosomal protein S6 kinase B2""","""ribosomal protein S6 kinase, 70kD, polypeptide 2""",,"""p70S6Kb"", ""P70-BETA"", ""STK14B"", ""KLS"", ""S6KB"", ""S6Kbeta"", ""S6Kβ""","""Ribosomal protein S6 kinase beta-2""","""70 kDa ribosomal protein S6 kinase 2"", ""S6 kinase-related kinase"", ""Serine/threonine-protein kinase 14B"", ""p70 ribosomal S6 kinase beta""","""RPS6KB2""","""STK14B""","""ribosomal protein S6 kinase B2""","""KLS"", ""P70-beta"", ""P70-beta-1"", ""P70-beta-2"", ""S6K-beta2"", ""S6K2"", ""S6KB"", ""S6KI(2)"", ""S6Kbeta"", ""SRK"", ""STK14B"", ""p70(S6K)-beta"", ""p70S6Kb"""
"""RSK3""","""RSK3""","""RPS6KA1""","""RPS6KA1""","""ribosomal protein S6 kinase, 90kDa, polypeptide 1""","""RPS6KA1""","""ribosomal protein S6 kinase A1""","""ribosomal protein S6 kinase, 90kD, polypeptide 1""",,"""RSK1"", ""HU-1"", ""p90Rsk"", ""MAPKAPK1""","""Ribosomal protein S6 kinase alpha-1""","""90 kDa ribosomal protein S6 kinase 1"", ""MAP kinase-activated protein kinase 1a"", ""Ribosomal S6 kinase 1""","""RPS6KA1""","""MAPKAPK1A"", ""RSK1""","""ribosomal protein S6 kinase A1""","""HU-1"", ""MAPKAPK1"", ""MAPKAPK1A"", ""RSK"", ""RSK1"", ""p90Rsk"""
"""RSK1""","""RSK1""","""RPS6KA2""","""RPS6KA2""","""ribosomal protein S6 kinase, 90kDa, polypeptide 2""","""RPS6KA2""","""ribosomal protein S6 kinase A2""","""ribosomal protein S6 kinase, 90kD, polypeptide 2""",,"""RSK3"", ""HU-2""","""Ribosomal protein S6 kinase alpha-2""","""90 kDa ribosomal protein S6 kinase 2"", ""MAP kinase-activated protein kinase 1c"", ""Ribosomal S6 kinase 3"", ""pp90RSK3""","""RPS6KA2""","""MAPKAPK1C"", ""RSK3""","""ribosomal protein S6 kinase A2""","""HU-2"", ""MAPKAPK1C"", ""RSK"", ""RSK3"", ""S6K-alpha"", ""S6K-alpha2"", ""p90-RSK3"", ""p90RSK2"", ""pp90RSK3"""
"""RSK2""","""RSK2""","""RPS6KA3""","""RPS6KA3""","""ribosomal protein S6 kinase, 90kDa, polypeptide 3""","""RPS6KA3""","""ribosomal protein S6 kinase A3""","""ribosomal protein S6 kinase, 90kD, polypeptide 3""",,"""RSK2"", ""HU-3""","""Ribosomal protein S6 kinase alpha-3""","""90 kDa ribosomal protein S6 kinase 3"", ""Insulin-stimulated protein kinase 1"", ""MAP kinase-activated protein kinase 1b"", ""Ribosomal S6 kinase 2"", ""pp90RSK2""","""RPS6KA3""","""ISPK1"", ""MAPKAPK1B"", ""RSK2""","""ribosomal protein S6 kinase A3""","""CLS"", ""HU-3"", ""ISPK-1"", ""MAPKAPK1B"", ""MRX19"", ""RSK"", ""RSK2"", ""S6K-alpha3"", ""XLID19"", ""p90-RSK2"", ""pp90RSK2"""
"""RSK4""","""RSK4""","""RPS6KA6""","""RPS6KA6""","""ribosomal protein S6 kinase, 90kDa, polypeptide 6""","""RPS6KA6""","""ribosomal protein S6 kinase A6""","""ribosomal protein S6 kinase, 90kD, polypeptide 6""",,"""RSK4""","""Ribosomal protein S6 kinase alpha-6""","""90 kDa ribosomal protein S6 kinase 6"", ""Ribosomal S6 kinase 4"", ""pp90RSK4""","""RPS6KA6""","""RSK4""","""ribosomal protein S6 kinase A6""","""PP90RSK4"", ""RSK-4"", ""RSK4"", ""S6K-alpha-6"", ""p90RSK6"""
"""RSKL1""","""RSKL1""","""RPS6KC1""","""RPS6KC1""","""ribosomal protein S6 kinase, 52kDa, polypeptide 1""","""RPS6KC1""","""ribosomal protein S6 kinase C1""","""ribosomal protein S6 kinase, 52kD, polypeptide 1""",,"""humS6PKh1"", ""RSKL1""","""Ribosomal protein S6 kinase delta-1""","""52 kDa ribosomal protein S6 kinase"", ""Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein"", ""SPHK1-binding protein""","""RPS6KC1""","""RPK118""","""ribosomal protein S6 kinase C1""","""RPK118"", ""RSKL1"", ""S6K-delta-1"", ""S6PKh1"", ""humS6PKh1"""
"""RSKL2""","""RSKL2""","""RPS6KL1""","""RPS6KL1""","""ribosomal protein S6 kinase-like 1""","""RPS6KL1""","""ribosomal protein S6 kinase like 1""","""ribosomal protein S6 kinase-like 1""",,"""MGC11287"", ""RSKL2""","""Ribosomal protein S6 kinase-like 1""",,"""RPS6KL1""",,"""ribosomal protein S6 kinase like 1""","""RSKL2"""
"""SgK494""","""SgK494""","""FLJ25006""","""-""","""-""","""FLJ25006""",,,,,,,,,,
